,SPY,AAPL,GLW
Start,2020-06-22 00:00:00,2020-06-22 00:00:00,2020-06-22 00:00:00
End,2025-06-20 00:00:00,2025-06-20 00:00:00,2025-06-20 00:00:00
Duration,1824 days 00:00:00,1824 days 00:00:00,1824 days 00:00:00
Exposure Time [%],92.59554140127389,90.12738853503186,93.78980891719745
Equity Final [$],6936.261292465378,6648.090299641748,6918.277721923966
Equity Peak [$],7020.855347641159,7916.348369898888,8206.938800450274
Return [%],108.08783877396134,99.44270898925244,107.54833165771898
Buy & Hold Return [%],100.96458702057288,115.57069201002712,118.08298729786596
Return (Ann.) [%],15.838265183273448,14.856241325969188,15.777944822665656
Volatility (Ann.) [%],17.051371969146214,30.951641774168348,32.70116395924757
CAGR [%],10.654299706926462,10.007487656763736,10.614618926757501
Sharpe Ratio,0.9288557666756766,0.47998233613468366,0.48248878365088915
Sortino Ratio,1.5623413679111242,0.8285950896991898,0.846986808281154
Calmar Ratio,0.6796471535892907,0.5280072599907155,0.452869451904878
Alpha [%],35.071029494923096,7.280982462118601,-5.986956014317698
Beta,0.7231922739817684,0.7974489459588744,0.9614872579878281
Max. Drawdown [%],-23.3036585228524,-28.136433817653227,-34.839940641391955
Avg. Drawdown [%],-1.6318798583763414,-5.282252576799644,-5.019378694464082
Max. Drawdown Duration,568 days 00:00:00,500 days 00:00:00,860 days 00:00:00
Avg. Drawdown Duration,19 days 00:00:00,51 days 00:00:00,45 days 00:00:00
# Trades,8,17,14
Win Rate [%],75.0,47.05882352941176,57.14285714285714
Best Trade [%],40.80081862010634,28.659647667999778,55.611680887346246
Worst Trade [%],-6.600782422097062,-14.532365833330296,-9.02856702763739
Avg. Trade [%],10.033396261882842,4.355103605728194,14.51061524178263
Max. Trade Duration,598 days 00:00:00,330 days 00:00:00,714 days 00:00:00
Avg. Trade Duration,210 days 00:00:00,116 days 00:00:00,308 days 00:00:00
Profit Factor,12.994769152619918,2.656007923238215,10.482371831741819
Expectancy [%],11.07240210170169,5.180604945837348,16.84069463935644
SQN,1.9858536841247159,1.4125517462970179,1.4264056072233888
Kelly Criterion,0.6876284919027946,0.2878565145572245,0.48011170049413016
